"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Throughput (128K)","Linux Reserved cost"
"R8G 12xlarge","r8g.12xlarge","384.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","1875.0 MB/s","$1365.4723 monthly"
"C7I Extra Large","c7i.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25 MB/s","$86.1984 monthly"
"R6I Large","r6i.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","81.25 MB/s","$60.8455 monthly"
"M6A Eight Extra Large","m6a.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","1250.0 MB/s","$667.5558 monthly"
"M5N Large","m5n.large","8.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","81.25 MB/s","$54.7500 monthly"
"R5 16xlarge","r5.16xlarge","512.0 GiB","64 vCPUs","EBS only","20 Gigabit","1700.0 MB/s","$1854.2000 monthly"
"R6A Large","r6a.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","81.25 MB/s","$54.7573 monthly"
"A1 Medium","a1.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","37.5 MB/s","$11.7530 monthly"
"C6I 24xlarge","c6i.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$1970.2116 monthly"
"C5 High-CPU Quadruple Extra Large","c5.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","593.75 MB/s","$312.4400 monthly"
"R8G Medium","r8g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","39.375 MB/s","$28.4481 monthly"
"R5 Metal","r5.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$2781.3000 monthly"
"C8G 12xlarge","c8g.12xlarge","96.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","1875.0 MB/s","$920.8366 monthly"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","593.75 MB/s","$849.7200 monthly"
"R6A 16xlarge","r6a.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","2500.0 MB/s","$1752.3285 monthly"
"M6I 16xlarge","m6i.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","2500.0 MB/s","$1483.4549 monthly"
"C8G Extra Large","c8g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25 MB/s","$76.7376 monthly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Low to Moderate","0 MB/s","$5.2560 monthly"
"C6IN Large","c6in.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","195.3125 MB/s","$52.1512 monthly"
