"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Throughput (128K)","Linux Reserved cost"
"M4 General Purpose Extra Large","m4.xlarge","16.0 GiB","4 vCPUs","EBS only","High","93.75 MB/s","$90.4470 monthly"
"M5A Quadruple Extra Large","m5a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","360.0 MB/s","$316.0900 monthly"
"C7I Quadruple Extra Large","c7i.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$344.7863 monthly"
"INF1 6xlarge","inf1.6xlarge","48.0 GiB","24 vCPUs","EBS only","25 Gigabit","593.75 MB/s","$543.1200 monthly"
"G3S Extra Large","g3s.xlarge","30.5 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","106.25 MB/s","$402.2300 monthly"
"M6G Quadruple Extra Large","m6g.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","593.75 MB/s","$282.0720 monthly"
"R7I Metal-48xl","r7i.metal-48xl","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$6133.1534 monthly"
"M6I Metal","m6i.metal","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$2966.9098 monthly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","21.75 MB/s","$9.4900 monthly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","21.75 MB/s","$7.6650 monthly"
"C4 High-CPU Double Extra Large","c4.2xlarge","15.0 GiB","8 vCPUs","EBS only","High","125.0 MB/s","$183.9600 monthly"
"R7A Metal-48xl","r7a.metal-48xl","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$7053.3549 monthly"
"R5N 24xlarge","r5n.24xlarge","768.0 GiB","96 vCPUs","EBS only","100 Gigabit","2375.0 MB/s","$3289.3800 monthly"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","43.375 MB/s","$19.0530 monthly"
"C6IN Extra Large","c6in.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 30 Gigabit","390.625 MB/s","$104.3024 monthly"
"R6IN 32xlarge","r6in.32xlarge","1024.0 GiB","128 vCPUs","EBS only","200 Gigabit","12500.0 MB/s","$5131.1627 monthly"
"T4G Double Extra Large","t4g.2xlarge","32.0 GiB","8 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","86.875 MB/s","$123.0780 monthly"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","39.375 MB/s","$15.6220 monthly"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","86.875 MB/s","$34.3830 monthly"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","11.25 MB/s","$4.3070 monthly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","16 vCPUs","EBS only","High","250.0 MB/s","$361.7880 monthly"
"C5A Eight Extra Large","c5a.8xlarge","64.0 GiB","32 vCPUs","EBS only","10 Gigabit","396.25 MB/s","$566.4800 monthly"
"C5A Double Extra Large","c5a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","100.0 MB/s","$141.6200 monthly"
"R7IZ Large","r7iz.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","99.0 MB/s","$85.5414 monthly"
"M5ZN Double Extra Large","m5zn.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","396.25 MB/s","$303.8260 monthly"
"M6IN Eight Extra Large","m6in.8xlarge","128.0 GiB","32 vCPUs","EBS only","50 Gigabit","3125.0 MB/s","$1024.5112 monthly"
"M6IN 24xlarge","m6in.24xlarge","384.0 GiB","96 vCPUs","EBS only","150 Gigabit","9375.0 MB/s","$3073.5336 monthly"
"R7IZ Metal-32xl","r7iz.metal-32xl","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$5474.6496 monthly"
"M5 General Purpose Metal","m5.metal","384.0 GiB","96 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$2119.1900 monthly"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","36 vCPUs","EBS only","10 Gigabit","500.0 MB/s","$735.8400 monthly"
"C7I 24xlarge","c7i.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$2068.7251 monthly"
"U-9TB1 112xlarge","u-9tb1.112xlarge","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","4750.0 MB/s","$36849.7211 monthly"
"M5N Extra Large","m5n.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","143.75 MB/s","$109.5000 monthly"
"C6I Quadruple Extra Large","c6i.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$328.3686 monthly"
"C6A Double Extra Large","c6a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","312.5 MB/s","$147.7666 monthly"
"G3 Graphics GPU 16xlarge","g3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","1750.0 MB/s","$2271.9060 monthly"
"C7A 48xlarge","c7a.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$4758.1765 monthly"
"M7I Double Extra Large","m7i.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","312.5 MB/s","$194.7056 monthly"
"R8G 16xlarge","r8g.16xlarge","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","2500.0 MB/s","$1820.6273 monthly"
"R6G Large","r6g.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","78.75 MB/s","$46.3550 monthly"
"A1 Quadruple Extra Large","a1.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","437.5 MB/s","$187.6100 monthly"
"R7IZ Metal-16xl","r7iz.metal-16xl","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","2500.0 MB/s","$2737.3248 monthly"
"R6IN Eight Extra Large","r6in.8xlarge","256.0 GiB","32 vCPUs","EBS only","50 Gigabit","3125.0 MB/s","$1282.7925 monthly"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","1875.0 MB/s","$886.5923 monthly"
"R7I Double Extra Large","r7i.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","312.5 MB/s","$255.5511 monthly"
"M6A 16xlarge","m6a.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","2500.0 MB/s","$1335.1116 monthly"
"R6A Eight Extra Large","r6a.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","1250.0 MB/s","$876.1679 monthly"
"R6I Eight Extra Large","r6i.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","1250.0 MB/s","$973.5134 monthly"
"C7I Metal-48xl","c7i.metal-48xl","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$4137.4429 monthly"
"C8G Quadruple Extra Large","c8g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","625.0 MB/s","$306.9431 monthly"
"R7A Large","r7a.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","81.25 MB/s","$73.4745 monthly"
"C8G Double Extra Large","c8g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","312.5 MB/s","$153.4752 monthly"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","5.375 MB/s","$1.8980 monthly"
"C7GN Metal","c7gn.metal","128.0 GiB","64 vCPUs","EBS only","200 Gigabit","4166.625 MB/s","$1836.6800 monthly"
"M5N Eight Extra Large","m5n.8xlarge","128.0 GiB","32 vCPUs","EBS only","25 Gigabit","850.0 MB/s","$876.0000 monthly"
"R6I 16xlarge","r6i.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","2500.0 MB/s","$1947.0341 monthly"
"M8G 24xlarge","m8g.24xlarge","384.0 GiB","96 vCPUs","EBS only","40 Gigabit","3750.0 MB/s","$2080.5438 monthly"
"C7GN Double Extra Large","c7gn.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 50 Gigabit","520.875 MB/s","$229.5850 monthly"
"HPC7A 24xlarge","hpc7a.24xlarge","768.0 GiB","48 vCPUs","EBS only","300 Gigabit","0 MB/s","unavailable"
"C6A 24xlarge","c6a.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$1773.1919 monthly"
"C5A Large","c5a.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","25.0 MB/s","$35.7700 monthly"
"C6G 12xlarge","c6g.12xlarge","96.0 GiB","48 vCPUs","EBS only","20 Gigabit","1781.25 MB/s","$750.5860 monthly"
"P3 High Performance GPU 16xlarge","p3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","1750.0 MB/s","$12196.8400 monthly"
"R5B 24xlarge","r5b.24xlarge","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","7500.0 MB/s","$3289.2048 monthly"
"C7A Double Extra Large","c7a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","312.5 MB/s","$198.2607 monthly"
"M8G Large","m8g.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","78.75 MB/s","$43.3474 monthly"
"M6A 12xlarge","m6a.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","1875.0 MB/s","$1001.3337 monthly"
"C7GN Medium","c7gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 25 Gigabit","65.125 MB/s","$28.6890 monthly"
"M6IN Quadruple Extra Large","m6in.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 50 Gigabit","1562.5 MB/s","$512.2556 monthly"
"M6A Quadruple Extra Large","m6a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$333.7779 monthly"
"R6I Quadruple Extra Large","r6i.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$486.7567 monthly"
"R5 12xlarge","r5.12xlarge","384.0 GiB","48 vCPUs","EBS only","12 Gigabit","1187.5 MB/s","$1390.6500 monthly"
"INF1 24xlarge","inf1.24xlarge","192.0 GiB","96 vCPUs","EBS only","100 Gigabit","2375.0 MB/s","$2171.0200 monthly"
"R7A 32xlarge","r7a.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$4702.2366 monthly"
"C7A 16xlarge","c7a.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","2500.0 MB/s","$1586.0564 monthly"
"C5 High-CPU 24xlarge","c5.24xlarge","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$1876.1000 monthly"
"M5ZN Extra Large","m5zn.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","195.5 MB/s","$151.9130 monthly"
"C7GN 16xlarge","c7gn.16xlarge","128.0 GiB","64 vCPUs","EBS only","200 Gigabit","4166.625 MB/s","$1836.6800 monthly"
"C5A 16xlarge","c5a.16xlarge","128.0 GiB","64 vCPUs","EBS only","20 Gigabit","787.5 MB/s","$1132.9600 monthly"
"M7I 12xlarge","m7i.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","1875.0 MB/s","$1168.2190 monthly"
"P2 General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","4 vCPUs","EBS only","High","93.75 MB/s","$448.2200 monthly"
"C7G Medium","c7g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","39.375 MB/s","$17.4470 monthly"
"U-12TB1 112xlarge","u-12tb1.112xlarge","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","4750.0 MB/s","$49132.9566 monthly"
"R5 Extra Large","r5.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","143.75 MB/s","$116.0700 monthly"
"C7GN 12xlarge","c7gn.12xlarge","96.0 GiB","48 vCPUs","EBS only","150 Gigabit","3125.0 MB/s","$1377.5100 monthly"
"M8G Double Extra Large","m8g.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","312.5 MB/s","$173.3750 monthly"
"P5E 48xlarge","p5e.48xlarge","2048.0 GiB","192 vCPUs","EBS only","3200 Gigabit","0 MB/s","unavailable"
"C7I Large","c7i.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","81.25 MB/s","$43.0992 monthly"
"R6I 32xlarge","r6i.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$3894.0682 monthly"
"M7G Medium","m7g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","39.375 MB/s","$19.7100 monthly"
"T2 Extra Large","t2.xlarge","16.0 GiB","4 vCPUs                                                         for a                   5h 24m                   burst","EBS only","Moderate","0 MB/s","$83.9500 monthly"
"C4 High-CPU Large","c4.large","3.75 GiB","2 vCPUs","EBS only","Moderate","62.5 MB/s","$45.9900 monthly"
"C5N Quadruple Extra Large","c5n.4xlarge","42.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","593.75 MB/s","$397.1200 monthly"
"M6I Quadruple Extra Large","m6i.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","625.0 MB/s","$370.8619 monthly"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","197.5 MB/s","$208.0500 monthly"
"R8G Double Extra Large","r8g.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","312.5 MB/s","$227.5775 monthly"
"R5N Quadruple Extra Large","r5n.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","593.75 MB/s","$548.2300 monthly"
"T2 Medium","t2.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","0 MB/s","$20.9510 monthly"
"R6IN Extra Large","r6in.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 30 Gigabit","390.625 MB/s","$160.3518 monthly"
"M7A Medium","m7a.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","40.625 MB/s","$27.9882 monthly"
"R7I 12xlarge","r7i.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","1875.0 MB/s","$1533.2847 monthly"
"M7I-FLEX Double Extra Large","m7i-flex.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","156.25 MB/s","$184.9528 monthly"
"M6A Metal","m6a.metal","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$4005.3275 monthly"
"T2 Large","t2.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Low to Moderate","0 MB/s","$41.9750 monthly"
"C7A Extra Large","c7a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25 MB/s","$99.1267 monthly"
"M7G Extra Large","m7g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25039999999998 MB/s","$78.8400 monthly"
"C5A Quadruple Extra Large","c5a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","197.5 MB/s","$283.2400 monthly"
"M7G Quadruple Extra Large","m7g.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","625.0 MB/s","$315.2140 monthly"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","39.375 MB/s","$17.5930 monthly"
"M7G 16xlarge","m7g.16xlarge","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","2500.0 MB/s","$1260.9290 monthly"
"M5 General Purpose 16xlarge","m5.16xlarge","256.0 GiB","64 vCPUs","EBS only","20 Gigabit","1700.0 MB/s","$1412.5500 monthly"
"R7G Medium","r7g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","39.375 MB/s","$25.8420 monthly"
"C8G Medium","c8g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","39.375 MB/s","$19.1844 monthly"
"R8G Metal-24xl","r8g.metal-24xl","768.0 GiB","96 vCPUs","EBS only","40 Gigabit","3750.0 MB/s","$2730.9446 monthly"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","48 vCPUs","EBS only","10 Gigabit","847.5 MB/s","$1247.5700 monthly"
"M7A 24xlarge","m7a.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$2686.9037 monthly"
"M4 General Purpose Large","m4.large","8.0 GiB","2 vCPUs","EBS only","Moderate","56.25 MB/s","$45.2600 monthly"
"C8G 16xlarge","c8g.16xlarge","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","2500.0 MB/s","$1227.7797 monthly"
"R7I 24xlarge","r7i.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","3750.0 MB/s","$3066.5767 monthly"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","0 MB/s","unavailable"
"R4 High-Memory Large","r4.large","15.25 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","53.125 MB/s","$61.3200 monthly"
"R7G 16xlarge","r7g.16xlarge","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","2500.0 MB/s","$1654.9830 monthly"
"R5B 16xlarge","r5b.16xlarge","512.0 GiB","64 vCPUs","EBS only","20 Gigabit","5000.0 MB/s","$2192.8032 monthly"
"C7G 12xlarge","c7g.12xlarge","96.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","1875.0 MB/s","$837.0180 monthly"
"M7G Large","m7g.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","78.75 MB/s","$39.4200 monthly"
"C6IN 32xlarge","c6in.32xlarge","256.0 GiB","128 vCPUs","EBS only","200 Gigabit","12500.0 MB/s","$3337.7717 monthly"
"T2 Small","t2.small","2.0 GiB","1 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","0 MB/s","$10.5120 monthly"
"R8G Large","r8g.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","78.75 MB/s","$56.8962 monthly"
"C6G Eight Extra Large","c6g.8xlarge","64.0 GiB","32 vCPUs","EBS only","12 Gigabit","1187.5 MB/s","$500.3420 monthly"
"C7I-FLEX Large","c7i-flex.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","39.0625 MB/s","$40.9457 monthly"
"C7GN Eight Extra Large","c7gn.8xlarge","64.0 GiB","32 vCPUs","EBS only","100 Gigabit","2083.375 MB/s","$918.3400 monthly"
"R6A Metal","r6a.metal","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$5256.9855 monthly"
"A1 Double Extra Large","a1.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","218.75 MB/s","$93.8050 monthly"
"HPC6ID 32xlarge","hpc6id.32xlarge","1024.0 GiB","64 vCPUs","EBS only","200 Gigabit","0 MB/s","unavailable"
"R5B Extra Large","r5b.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","312.5 MB/s","$137.0502 monthly"
"M6G 12xlarge","m6g.12xlarge","192.0 GiB","48 vCPUs","EBS only","20 Gigabit","1781.25 MB/s","$846.2160 monthly"
"C7I-FLEX Quadruple Extra Large","c7i-flex.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","312.5 MB/s","$327.5510 monthly"
"P3 High Performance GPU Eight Extra Large","p3.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","875.0 MB/s","$6098.4200 monthly"
"G3 Graphics GPU Quadruple Extra Large","g3.4xlarge","122.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","437.5 MB/s","$568.0130 monthly"
"M8G Quadruple Extra Large","m8g.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","625.0 MB/s","$346.7573 monthly"
"HPC7A 12xlarge","hpc7a.12xlarge","768.0 GiB","24 vCPUs","EBS only","300 Gigabit","0 MB/s","unavailable"
"R7G 12xlarge","r7g.12xlarge","384.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","1875.0 MB/s","$1241.2190 monthly"
"C6GN Medium","c6gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 16 Gigabit","95.0 MB/s","$19.9071 monthly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","10.875 MB/s","$4.7450 monthly"
"C8G Eight Extra Large","c8g.8xlarge","64.0 GiB","32 vCPUs","EBS only","15 Gigabit","1250.0 MB/s","$613.8935 monthly"
"M5N Quadruple Extra Large","m5n.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","593.75 MB/s","$438.0000 monthly"
"M8G 12xlarge","m8g.12xlarge","192.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","1875.0 MB/s","$1040.2719 monthly"
"M8G 48xlarge","m8g.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","5000.0 MB/s","$4161.0876 monthly"
"M7I-FLEX Quadruple Extra Large","m7i-flex.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","312.5 MB/s","$369.9129 monthly"
"C6G 16xlarge","c6g.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$1000.7570 monthly"
"C8G Large","c8g.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","78.75 MB/s","$38.3688 monthly"
"C8G 24xlarge","c8g.24xlarge","192.0 GiB","96 vCPUs","EBS only","40 Gigabit","3750.0 MB/s","$1841.6732 monthly"
"M7G Eight Extra Large","m7g.8xlarge","128.0 GiB","32 vCPUs","EBS only","15 Gigabit","1250.0 MB/s","$630.5010 monthly"
"A1 Extra Large","a1.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","100.0 MB/s","$46.9390 monthly"
"C7G Large","c7g.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","78.75 MB/s","$34.8940 monthly"
"INF2 Eight Extra Large","inf2.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 25 Gigabit","1250.0 MB/s","$905.0175 monthly"
"M4 General Purpose 16xlarge","m4.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","1250.0 MB/s","$1447.1520 monthly"
"R6G Eight Extra Large","r6g.8xlarge","256.0 GiB","32 vCPUs","EBS only","12 Gigabit","1187.5 MB/s","$741.7530 monthly"
"C7G Extra Large","c7g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25039999999998 MB/s","$69.7150 monthly"
"R7G Large","r7g.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","78.75 MB/s","$51.6840 monthly"
"A1 Large","a1.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","65.625 MB/s","$23.4330 monthly"
"R8G Eight Extra Large","r8g.8xlarge","256.0 GiB","32 vCPUs","EBS only","15 Gigabit","1250.0 MB/s","$910.3173 monthly"
"R6IN Large","r6in.large","16.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","195.3125 MB/s","$80.1759 monthly"
"M6G Eight Extra Large","m6g.8xlarge","128.0 GiB","32 vCPUs","EBS only","12 Gigabit","1187.5 MB/s","$564.1440 monthly"
"R4 High-Memory Extra Large","r4.xlarge","30.5 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","106.25 MB/s","$122.6400 monthly"
"C7I-FLEX Extra Large","c7i-flex.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","78.125 MB/s","$81.8841 monthly"
"C6GN Double Extra Large","c6gn.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","593.75 MB/s","$159.2349 monthly"
"R6G Double Extra Large","r6g.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","296.875 MB/s","$185.4200 monthly"
"INF2 48xlarge","inf2.48xlarge","768.0 GiB","192 vCPUs","EBS only","100 Gigabit","7500.0 MB/s","$5970.0860 monthly"
"HPC6A 48xlarge","hpc6a.48xlarge","384.0 GiB","96 vCPUs","EBS only","100 Gigabit","0 MB/s","unavailable"
"R6G Metal","r6g.metal","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$1483.4330 monthly"
"R7G Eight Extra Large","r7g.8xlarge","256.0 GiB","32 vCPUs","EBS only","15 Gigabit","1250.0 MB/s","$827.4550 monthly"
"HPC7A 48xlarge","hpc7a.48xlarge","768.0 GiB","96 vCPUs","EBS only","300 Gigabit","0 MB/s","unavailable"
"C7G Double Extra Large","c7g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","312.5 MB/s","$139.5030 monthly"
"R8G Quadruple Extra Large","r8g.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","625.0 MB/s","$455.1550 monthly"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","5.625 MB/s","$2.1170 monthly"
"R7G Double Extra Large","r7g.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","312.5 MB/s","$206.8820 monthly"
"C6G Large","c6g.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","78.75 MB/s","$31.2440 monthly"
"C6GN Extra Large","c6gn.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","296.88 MB/s","$79.6138 monthly"
"C6GN 16xlarge","c6gn.16xlarge","128.0 GiB","64 vCPUs","EBS only","100 Gigabit","4750.0 MB/s","$1273.8646 monthly"
"C7GN Quadruple Extra Large","c7gn.4xlarge","32.0 GiB","16 vCPUs","EBS only","50 Gigabit","1041.625 MB/s","$459.1700 monthly"
"C6G Metal","c6g.metal","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$1000.7570 monthly"
"M8G Metal-24xl","m8g.metal-24xl","384.0 GiB","96 vCPUs","EBS only","40 Gigabit","3750.0 MB/s","$2080.5438 monthly"
"R8G Extra Large","r8g.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","156.25 MB/s","$113.7924 monthly"
"M6G Metal","m6g.metal","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$1128.2880 monthly"
"M6G 16xlarge","m6g.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","2375.0 MB/s","$1128.2880 monthly"
"INF2 24xlarge","inf2.24xlarge","384.0 GiB","96 vCPUs","EBS only","50 Gigabit","3750.0 MB/s","$2985.0430 monthly"
"R8G 24xlarge","r8g.24xlarge","768.0 GiB","96 vCPUs","EBS only","40 Gigabit","3750.0 MB/s","$2730.9446 monthly"
