"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"C6A Metal","c6a.metal","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$5361.1200 monthly","$3546.3838 monthly","$831.2510 monthly"
"G3 Graphics GPU Eight Extra Large","g3.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","7000 Mbps","875.0 MB/s","40000 IOPS","7000 Mbps","875.0 MB/s","40000 IOPS","$1664.4000 monthly","$1135.9530 monthly","$461.8710 monthly"
"M5A Double Extra Large","m5a.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","1580 Mbps","197.5 MB/s","8333 IOPS","2880 Mbps","197.5 MB/s","16000 IOPS","$251.1200 monthly","$158.4100 monthly","$98.1120 monthly"
"M5 General Purpose Double Extra Large","m5.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","2300 Mbps","287.5 MB/s","12000 IOPS","4750 Mbps","287.5 MB/s","18750 IOPS","$280.3200 monthly","$176.6600 monthly","$128.4800 monthly"
"C7I 48xlarge","c7i.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$6254.6400 monthly","$4137.4429 monthly","$1774.0460 monthly"
"M7I-FLEX Large","m7i-flex.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","312 Mbps","39.0625 MB/s","2500 IOPS","10000 Mbps","39.0625 MB/s","40000 IOPS","$69.9048 monthly","$46.2382 monthly","$21.2430 monthly"
"R5N 16xlarge","r5n.16xlarge","512.0 GiB","64 vCPUs","EBS only","75 Gigabit","13600 Mbps","1700.0 MB/s","60000 IOPS","13600 Mbps","1700.0 MB/s","60000 IOPS","$3480.6400 monthly","$2192.9200 monthly","$972.3600 monthly"
"M7A Metal-48xl","m7a.metal-48xl","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$8123.6736 monthly","$5373.8074 monthly","$812.3440 monthly"
"M7A Large","m7a.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$84.6216 monthly","$55.9764 monthly","$25.1850 monthly"
"R7A 48xlarge","r7a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$10662.6720 monthly","$7053.3549 monthly","$2349.1400 monthly"
