"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","48 vCPUs","335520 GB                 (24 * 13980 GB NVMe HDD)","75 Gigabit","7000 Mbps","875.0 MB/s","40000 IOPS","7000 Mbps","875.0 MB/s","40000 IOPS","$4605.3072 monthly","$2901.3412 monthly","$606.8490 monthly"
"D3EN Eight Extra Large","d3en.8xlarge","128.0 GiB","32 vCPUs","223680 GB                 (16 * 13980 GB NVMe HDD)","50 Gigabit","5000 Mbps","625.0 MB/s","30000 IOPS","5000 Mbps","625.0 MB/s","30000 IOPS","$3070.2048 monthly","$1934.2299 monthly","$922.5740 monthly"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","24 vCPUs","167760 GB                 (12 * 13980 GB NVMe HDD)","40 Gigabit","4000 Mbps","500.0 MB/s","25000 IOPS","4000 Mbps","500.0 MB/s","25000 IOPS","$2302.4200 monthly","$1450.5100 monthly","$643.7870 monthly"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","16 vCPUs","111840 GB                 (8 * 13980 GB NVMe HDD)","25 Gigabit","2800 Mbps","350.0 MB/s","15000 IOPS","2800 Mbps","350.0 MB/s","15000 IOPS","$1535.1900 monthly","$967.2500 monthly","$475.2300 monthly"
"I3EN 24xlarge","i3en.24xlarge","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$7919.0400 monthly","$5393.2400 monthly","$1074.4140 monthly"
"I3EN Metal","i3en.metal","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$7919.0400 monthly","$5393.2400 monthly","$828.2580 monthly"
"D3EN Double Extra Large","d3en.2xlarge","32.0 GiB","8 vCPUs","55920 GB                 (4 * 13980 GB NVMe HDD)","Up to 25 Gigabit","1700 Mbps","212.5 MB/s","10000 IOPS","2800 Mbps","212.5 MB/s","15000 IOPS","$767.2300 monthly","$483.2600 monthly","$253.2370 monthly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","36 vCPUs","49152 GB                 (24 * 2048 GB HDD)","10 Gigabit","4000 Mbps","500.0 MB/s","32000 IOPS","4000 Mbps","500.0 MB/s","32000 IOPS","$4029.6000 monthly","$2347.6800 monthly","$1024.4820 monthly"
"D3 Eight Extra Large","d3.8xlarge","256.0 GiB","32 vCPUs","47520 GB                 (24 * 1980 GB NVMe HDD)","25 Gigabit","5000 Mbps","625.0 MB/s","30000 IOPS","5000 Mbps","625.0 MB/s","30000 IOPS","$2916.7296 monthly","$1837.5414 monthly","$891.0380 monthly"
"P5 48xlarge","p5.48xlarge","2048.0 GiB","192 vCPUs","30400 GB                 (8 * 3800 GB NVMe SSD)","3200 Gigabit","80000 Mbps","10000.0 MB/s","260000 IOPS","80000 Mbps","10000.0 MB/s","260000 IOPS","$71773.6000 monthly","unavailable","$33164.3380 monthly"
"I3EN 12xlarge","i3en.12xlarge","384.0 GiB","48 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$3959.5200 monthly","$2696.6200 monthly","$1060.6900 monthly"
"I4I Metal","i4i.metal","1024.0 GiB","128 vCPUs","30000 GB                 (8 * 3750 GB NVMe SSD)","75 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$8016.8600 monthly","$5202.7100 monthly","$1170.5550 monthly"
"I4I 32xlarge","i4i.32xlarge","1024.0 GiB","128 vCPUs","30000 GB                 (8 * 3750 GB NVMe SSD)","75 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$8017.1520 monthly","$5202.3888 monthly","$1591.4000 monthly"
"IM4GN 16xlarge","im4gn.16xlarge","256.0 GiB","64 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","100 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$4249.0891 monthly","$2725.0608 monthly","$629.2600 monthly"
"IS4GEN Eight Extra Large","is4gen.8xlarge","192.0 GiB","32 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$3365.5920 monthly","$2295.4558 monthly","$344.2680 monthly"
"D3EN Extra Large","d3en.xlarge","16.0 GiB","4 vCPUs","27960 GB                 (2 * 13980 GB NVMe HDD)","Up to 25 Gigabit","850 Mbps","106.25 MB/s","5000 IOPS","2800 Mbps","106.25 MB/s","15000 IOPS","$383.9800 monthly","$241.6300 monthly","$84.0230 monthly"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","16 vCPUs","24576 GB                 (12 * 2048 GB HDD)","High","2000 Mbps","250.0 MB/s","16000 IOPS","2000 Mbps","250.0 MB/s","16000 IOPS","$2014.8000 monthly","$1173.8400 monthly","$280.2470 monthly"
"D3 Quadruple Extra Large","d3.4xlarge","128.0 GiB","16 vCPUs","23760 GB                 (12 * 1980 GB NVMe HDD)","Up to 15 Gigabit","2800 Mbps","350.0 MB/s","15000 IOPS","2800 Mbps","350.0 MB/s","15000 IOPS","$1458.5400 monthly","$919.0700 monthly","$473.2590 monthly"
"I4I 24xlarge","i4i.24xlarge","768.0 GiB","96 vCPUs","22500 GB                 (6 * 3750 GB NVMe SSD)","56.25 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$6012.8640 monthly","$3901.7916 monthly","$1299.8380 monthly"
"H1 16xlarge","h1.16xlarge","256.0 GiB","64 vCPUs","16000 GB                 (8 * 2000 GB HDD)","25 Gigabit","14000 Mbps","1750.0 MB/s","80000 IOPS","14000 Mbps","1750.0 MB/s","80000 IOPS","$2733.1200 monthly","$1857.8500 monthly","$809.2780 monthly"
"I3 High I/O 16xlarge","i3.16xlarge","488.0 GiB","64 vCPUs","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","14000 Mbps","1750.0 MB/s","65000 IOPS","14000 Mbps","1750.0 MB/s","65000 IOPS","$3644.1600 monthly","$2501.7100 monthly","$1094.0510 monthly"
"I3 High I/O Metal","i3.metal","512.0 GiB","72 vCPUs","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$3644.1600 monthly","$2501.7100 monthly","$471.0690 monthly"
"I3EN 6xlarge","i3en.6xlarge","192.0 GiB","24 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$1979.7600 monthly","$1348.3100 monthly","$577.5030 monthly"
"I4I 16xlarge","i4i.16xlarge","512.0 GiB","64 vCPUs","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$4008.4300 monthly","$2600.9900 monthly","$1149.6040 monthly"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","16 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1682.7960 monthly","$1147.7279 monthly","$657.9490 monthly"
"I4G 16xlarge","i4g.16xlarge","512.0 GiB","64 vCPUs","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$3607.7184 monthly","$2341.1976 monthly","$457.4910 monthly"
"IM4GN Eight Extra Large","im4gn.8xlarge","128.0 GiB","32 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","50 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2124.5482 monthly","$1362.5304 monthly","$287.4740 monthly"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","8 vCPUs","12288 GB                 (6 * 2048 GB HDD)","High","1000 Mbps","125.0 MB/s","8000 IOPS","1000 Mbps","125.0 MB/s","8000 IOPS","$1007.4000 monthly","$586.9200 monthly","$124.1730 monthly"
"D3 Double Extra Large","d3.2xlarge","64.0 GiB","8 vCPUs","11880 GB                 (6 * 1980 GB NVMe HDD)","Up to 15 Gigabit","1700 Mbps","212.5 MB/s","10000 IOPS","2800 Mbps","212.5 MB/s","15000 IOPS","$729.2700 monthly","$459.1700 monthly","$219.6570 monthly"
"I4I 12xlarge","i4i.12xlarge","384.0 GiB","48 vCPUs","11250 GB                 (3 * 3750 GB NVMe SSD)","28.12 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$3006.1400 monthly","$1950.5600 monthly","$1138.6540 monthly"
"P4D Highest Performance GPU 24xlarge","p4d.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","4x 100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$23923.9980 monthly","$14728.1135 monthly","$6718.6280 monthly"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","32 vCPUs","8000 GB                 (4 * 2000 GB HDD)","10 Gigabit","7000 Mbps","875.0 MB/s","40000 IOPS","7000 Mbps","875.0 MB/s","40000 IOPS","$1366.5600 monthly","$928.5600 monthly","$398.2150 monthly"
"R6IDN Metal","r6idn.metal","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","100000 Mbps","12500.0 MB/s","400000 IOPS","100000 Mbps","12500.0 MB/s","400000 IOPS","$9128.6208 monthly","$5751.0276 monthly","$912.8650 monthly"
"M6ID 32xlarge","m6id.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$5543.3280 monthly","$3492.2981 monthly","$1687.0300 monthly"
"C6ID 32xlarge","c6id.32xlarge","256.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$4709.3760 monthly","$2967.8880 monthly","$635.0270 monthly"
"R6ID 32xlarge","r6id.32xlarge","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$7064.0640 monthly","$4439.5680 monthly","$1675.2040 monthly"
"C6ID Metal","c6id.metal","256.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$4709.3760 monthly","$2967.8880 monthly","$1019.8830 monthly"
"R6ID Metal","r6id.metal","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$7064.0640 monthly","$4439.5680 monthly","$1295.6770 monthly"
"M6IDN Metal","m6idn.metal","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","100000 Mbps","12500.0 MB/s","400000 IOPS","100000 Mbps","12500.0 MB/s","400000 IOPS","$7434.0864 monthly","$4683.4756 monthly","$1009.0060 monthly"
"M6ID Metal","m6id.metal","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$5543.3280 monthly","$3492.2981 monthly","$1623.6660 monthly"
"G5 Graphics and Machine Learning GPU 48xlarge","g5.48xlarge","768.0 GiB","192 vCPUs","7600 GB                 (2 * 3800 GB NVMe SSD)","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$11890.2400 monthly","$7490.8512 monthly","$1882.1590 monthly"
"R6IDN 32xlarge","r6idn.32xlarge","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","100000 Mbps","12500.0 MB/s","400000 IOPS","100000 Mbps","12500.0 MB/s","400000 IOPS","$9128.6208 monthly","$5751.0276 monthly","$2478.0580 monthly"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","32 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","10 Gigabit","7000 Mbps","875.0 MB/s","32500 IOPS","7000 Mbps","875.0 MB/s","32500 IOPS","$1822.0800 monthly","$1251.2200 monthly","$528.7390 monthly"
"M6IDN 32xlarge","m6idn.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","100000 Mbps","12500.0 MB/s","400000 IOPS","100000 Mbps","12500.0 MB/s","400000 IOPS","$7434.0864 monthly","$4683.4756 monthly","$1865.8070 monthly"
"TRN1 32xlarge","trn1.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","8x 100 Gigabit","80000 Mbps","10000.0 MB/s","260000 IOPS","80000 Mbps","10000.0 MB/s","260000 IOPS","$15695.0000 monthly","$9657.1335 monthly","$1629.2140 monthly"
"G6E 48xlarge","g6e.48xlarge","1536.0 GiB","192 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","400 Gigabit","60000 Mbps","7500.0 MB/s","240000 IOPS","60000 Mbps","7500.0 MB/s","240000 IOPS","$21995.7614 monthly","$13857.3272 monthly","$2838.3860 monthly"
"TRN1N 32xlarge","trn1n.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","16x 100 Gigabit","80000 Mbps","10000.0 MB/s","260000 IOPS","80000 Mbps","10000.0 MB/s","260000 IOPS","$18089.4000 monthly","$11130.4049 monthly","$2601.8660 monthly"
"G6 Graphics and Machine Learning GPU 48xlarge","g6.48xlarge","768.0 GiB","192 vCPUs","7520 GB                 (8 * 940 GB NVMe SSD)","100 Gigabit","60000 Mbps","7500.0 MB/s","240000 IOPS","60000 Mbps","7500.0 MB/s","240000 IOPS","$9745.7920 monthly","$6344.5103 monthly","$1257.2060 monthly"
"IM4GN Quadruple Extra Large","im4gn.4xlarge","64.0 GiB","16 vCPUs","7500 GB                 NVMe SSD","25 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1062.2741 monthly","$681.2652 monthly","$142.3500 monthly"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","12 vCPUs","7500 GB                 NVMe SSD","Up to 25 Gigabit","3800 Mbps","475.0 MB/s","15000 IOPS","4750 Mbps","475.0 MB/s","20000 IOPS","$989.8800 monthly","$674.5200 monthly","$265.0630 monthly"
"I4I Eight Extra Large","i4i.8xlarge","256.0 GiB","32 vCPUs","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$2004.5800 monthly","$1300.8600 monthly","$736.2780 monthly"
"I4G Eight Extra Large","i4g.8xlarge","256.0 GiB","32 vCPUs","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1803.8592 monthly","$1170.5988 monthly","$402.7410 monthly"
"IS4GEN Double Extra Large","is4gen.2xlarge","48.0 GiB","8 vCPUs","7500 GB                 NVMe SSD","Up to 25 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$841.3980 monthly","$573.8603 monthly","$251.1200 monthly"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","32 vCPUs","6400 GB                 (8 * 800 GB SSD)","10 Gigabit","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$4978.6000 monthly","$2476.1600 monthly","$731.5330 monthly"
"D2 Extra Large","d2.xlarge","30.5 GiB","4 vCPUs","6144 GB                 (3 * 2048 GB HDD)","Moderate","750 Mbps","93.75 MB/s","6000 IOPS","750 Mbps","93.75 MB/s","6000 IOPS","$503.7000 monthly","$293.4600 monthly","$68.2550 monthly"
"D3 Extra Large","d3.xlarge","32.0 GiB","4 vCPUs","5940 GB                 (3 * 1980 GB NVMe HDD)","Up to 15 Gigabit","850 Mbps","106.25 MB/s","5000 IOPS","2800 Mbps","106.25 MB/s","15000 IOPS","$364.2700 monthly","$229.9500 monthly","$99.3530 monthly"
"R6ID 24xlarge","r6id.24xlarge","768.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$5298.0480 monthly","$3329.6760 monthly","$1115.5860 monthly"
"M6ID 24xlarge","m6id.24xlarge","384.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$4157.4960 monthly","$2619.2254 monthly","$1376.8530 monthly"
"C6ID 24xlarge","c6id.24xlarge","192.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$3532.0320 monthly","$2225.9160 monthly","$789.2760 monthly"
"R6IDN 24xlarge","r6idn.24xlarge","768.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","75000 Mbps","9375.0 MB/s","300000 IOPS","75000 Mbps","9375.0 MB/s","300000 IOPS","$6846.4656 monthly","$4313.2707 monthly","$2011.0040 monthly"
"M6IDN 24xlarge","m6idn.24xlarge","384.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","75000 Mbps","9375.0 MB/s","300000 IOPS","75000 Mbps","9375.0 MB/s","300000 IOPS","$5575.5648 monthly","$3512.6067 monthly","$1364.2240 monthly"
"I3EN Double Extra Large","i3en.2xlarge","64.0 GiB","8 vCPUs","5000 GB                 (2 * 2500 GB NVMe SSD)","Up to 25 Gigabit","2307 Mbps","288.3875 MB/s","12000 IOPS","4750 Mbps","288.3875 MB/s","20000 IOPS","$659.9200 monthly","$449.6800 monthly","$266.9610 monthly"
"H1 Quadruple Extra Large","h1.4xlarge","64.0 GiB","16 vCPUs","4000 GB                 (2 * 2000 GB HDD)","Up to 10 Gigabit","3500 Mbps","437.5 MB/s","20000 IOPS","3500 Mbps","437.5 MB/s","20000 IOPS","$683.2800 monthly","$464.2800 monthly","$175.7110 monthly"
"DL1 24xlarge","dl1.24xlarge","768.0 GiB","96 vCPUs","4000 GB                 (4 * 1000 GB NVMe SSD)","4x 100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$9569.5992 monthly","$6028.8510 monthly","$1583.1510 monthly"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","14000 Mbps","1750.0 MB/s","80000 IOPS","14000 Mbps","1750.0 MB/s","80000 IOPS","$19482.2400 monthly","$12005.5800 monthly","$2086.6320 monthly"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","14000 Mbps","1750.0 MB/s","80000 IOPS","14000 Mbps","1750.0 MB/s","80000 IOPS","$9736.7400 monthly","$5999.8700 monthly","$1058.0620 monthly"
"X2IEDN 32xlarge","x2iedn.32xlarge","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","80000 Mbps","10000.0 MB/s","260000 IOPS","80000 Mbps","10000.0 MB/s","260000 IOPS","$19473.4800 monthly","$11982.0302 monthly","$2215.9150 monthly"
"X2IDN Metal","x2idn.metal","2048.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","80000 Mbps","10000.0 MB/s","260000 IOPS","80000 Mbps","10000.0 MB/s","260000 IOPS","$9736.7400 monthly","$5991.0151 monthly","$1140.1140 monthly"
"R7GD Metal","r7gd.metal","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$3178.8580 monthly","$1997.7910 monthly","$471.1420 monthly"
"R6ID 16xlarge","r6id.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$3532.0320 monthly","$2219.7840 monthly","$943.0870 monthly"
"G6E 12xlarge","g6e.12xlarge","384.0 GiB","48 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$7659.6272 monthly","$4825.5628 monthly","$1322.0300 monthly"
"M6ID 16xlarge","m6id.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2771.6640 monthly","$1746.1454 monthly","$450.9940 monthly"
"M7GD 16xlarge","m7gd.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2494.4830 monthly","$1571.5440 monthly","$572.1010 monthly"
"X2IEDN Metal","x2iedn.metal","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","80000 Mbps","10000.0 MB/s","260000 IOPS","80000 Mbps","10000.0 MB/s","260000 IOPS","$19473.4800 monthly","$11982.0302 monthly","$1947.3480 monthly"
"G5 Graphics and Machine Learning GPU 12xlarge","g5.12xlarge","192.0 GiB","48 vCPUs","3800 GB                 NVMe SSD","40 Gigabit","16000 Mbps","2000.0 MB/s","65000 IOPS","16000 Mbps","2000.0 MB/s","65000 IOPS","$4140.5600 monthly","$2608.5528 monthly","$1655.7130 monthly"
"R6IDN 16xlarge","r6idn.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","50000 Mbps","6250.0 MB/s","200000 IOPS","50000 Mbps","6250.0 MB/s","200000 IOPS","$4564.3104 monthly","$2875.5138 monthly","$1355.3180 monthly"
"X2GD Metal","x2gd.metal","1024.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$3901.1200 monthly","$2404.0360 monthly","$390.1120 monthly"
"M6GD 16xlarge","m6gd.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2111.7440 monthly","$1330.4250 monthly","$390.1120 monthly"
"C5AD 24xlarge","c5ad.24xlarge","192.0 GiB","96 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","20 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$3013.4400 monthly","$1898.7300 monthly","$992.5810 monthly"
"C6ID 16xlarge","c6id.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2354.6880 monthly","$1483.9440 monthly","$682.1120 monthly"
"M7GD Metal","m7gd.metal","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2494.4830 monthly","$1571.5440 monthly","$255.5730 monthly"
"M6GD Metal","m6gd.metal","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2111.7440 monthly","$1330.4250 monthly","$215.7880 monthly"
"C7GD Metal","c7gd.metal","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2119.1900 monthly","$1335.5350 monthly","$243.9660 monthly"
"R7GD 16xlarge","r7gd.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$3178.8580 monthly","$1997.7910 monthly","$532.1700 monthly"
"M6IDN 16xlarge","m6idn.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","50000 Mbps","6250.0 MB/s","200000 IOPS","50000 Mbps","6250.0 MB/s","200000 IOPS","$3717.0432 monthly","$2341.7378 monthly","$999.8810 monthly"
"C7GD 16xlarge","c7gd.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2119.1900 monthly","$1335.5350 monthly","$308.7170 monthly"
"G6E 24xlarge","g6e.24xlarge","768.0 GiB","96 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","200 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$10997.8807 monthly","$6928.6636 monthly","$1528.1820 monthly"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$1794.0480 monthly","$1130.2590 monthly","$216.3720 monthly"
