Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
T4G Double Extra Large,t4g.2xlarge,32.0 GiB,8 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,$0.2752 hourly,$0.1740 hourly,$0.0797 hourly,unavailable,unavailable,695.00,2780.00,86.88,347.50,4000.00,15700.00
R7I Extra Large,r7i.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2814 hourly,$0.1862 hourly,$0.0851 hourly,$0.4654 hourly,$0.3701 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
R7GD Extra Large,r7gd.xlarge,32.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 12.5 Gigabit,$0.2873 hourly,$0.1810 hourly,$0.0792 hourly,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
C6G Double Extra Large,c6g.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.2920 hourly,$0.1848 hourly,$0.0909 hourly,unavailable,unavailable,2375.00,4750.00,296.88,593.75,12000.00,20000.00
M6IN Extra Large,m6in.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.2960 hourly,$0.1859 hourly,$0.0963 hourly,$0.4800 hourly,$0.3699 hourly,3125.00,25000.00,390.62,3125.00,12500.00,100000.00
R5D Extra Large,r5d.xlarge,32.0 GiB,4 vCPUs,150 GB                 NVMe SSD,Up to 10 Gigabit,$0.3040 hourly,$0.1920 hourly,$0.0927 hourly,$0.4880 hourly,$0.3760 hourly,1150.00,4750.00,143.75,593.75,6000.00,18750.00
C7G Double Extra Large,c7g.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.3094 hourly,$0.2047 hourly,$0.0998 hourly,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
R5B Extra Large,r5b.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.3159 hourly,$0.1990 hourly,$0.0910 hourly,$0.4999 hourly,$0.3830 hourly,2500.00,10000.00,312.50,1250.00,10833.00,43333.00
R5N Extra Large,r5n.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.3180 hourly,$0.2000 hourly,$0.0906 hourly,$0.5020 hourly,$0.3840 hourly,1150.00,4750.00,143.75,593.75,6000.00,18750.00
R7A Extra Large,r7a.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.3236 hourly,$0.2141 hourly,$0.0975 hourly,$0.5076 hourly,$0.3981 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
I3 High I/O Extra Large,i3.xlarge,30.5 GiB,4 vCPUs,950 GB                 NVMe SSD,Up to 10 Gigabit,$0.3260 hourly,$0.2230 hourly,$0.0878 hourly,$0.5100 hourly,$0.4070 hourly
M6G Double Extra Large,m6g.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.3280 hourly,$0.2058 hourly,$0.1093 hourly,unavailable,unavailable,2375.00,4750.00,296.88,593.75,12000.00,20000.00
C5A Double Extra Large,c5a.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.3280 hourly,$0.2070 hourly,$0.1007 hourly,$0.6960 hourly,$0.5750 hourly,800.00,3170.00,100.00,396.25,3200.00,13300.00
M6IDN Extra Large,m6idn.xlarge,16.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 30 Gigabit,$0.3320 hourly,$0.2085 hourly,$0.0903 hourly,$0.5160 hourly,$0.3925 hourly,3125.00,25000.00,390.62,3125.00,12500.00,100000.00
C6GD Double Extra Large,c6gd.2xlarge,16.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 10 Gigabit,$0.3328 hourly,$0.2097 hourly,$0.0925 hourly,unavailable,unavailable,2375.00,4750.00,296.88,593.75,12000.00,20000.00
T3 Double Extra Large,t3.2xlarge,32.0 GiB,8 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,$0.3456 hourly,$0.2177 hourly,$0.0946 hourly,$0.4928 hourly,$0.3649 hourly,695.00,2780.00,86.88,347.50,4000.00,15700.00
M7G Double Extra Large,m7g.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.3468 hourly,$0.2294 hourly,$0.1216 hourly,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
R5DN Extra Large,r5dn.xlarge,32.0 GiB,4 vCPUs,150 GB                 NVMe SSD,Up to 25 Gigabit,$0.3540 hourly,$0.2230 hourly,$0.0976 hourly,$0.5380 hourly,$0.4070 hourly,1150.00,4750.00,143.75,593.75,6000.00,18750.00
I4I Extra Large,i4i.xlarge,32.0 GiB,4 vCPUs,937 GB                 NVMe SSD,Up to 10 Gigabit,$0.3590 hourly,$0.2340 hourly,$0.0947 hourly,$0.5430 hourly,$0.4180 hourly,1250.00,10000.00,156.25,1250.00,5000.00,40000.00
C7I-FLEX Double Extra Large,c7i-flex.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.3631 hourly,$0.2402 hourly,$0.1012 hourly,$0.7127 hourly,$0.5898 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
C5 High-CPU Double Extra Large,c5.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.3640 hourly,$0.2290 hourly,$0.1094 hourly,$0.7320 hourly,$0.5970 hourly,2300.00,4750.00,287.50,593.75,10000.00,20000.00
C6I Double Extra Large,c6i.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.3640 hourly,$0.2408 hourly,$0.1101 hourly,$0.7320 hourly,$0.6088 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
C6GN Double Extra Large,c6gn.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.3720 hourly,$0.2352 hourly,$0.1122 hourly,unavailable,unavailable,4750.00,9500.00,593.75,1187.50,20000.00,40000.00
R6IN Extra Large,r6in.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.3721 hourly,$0.2334 hourly,$0.0975 hourly,$0.5561 hourly,$0.4174 hourly,3125.00,25000.00,390.62,3125.00,12500.00,100000.00
C7I Double Extra Large,c7i.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.3822 hourly,$0.2528 hourly,$0.1118 hourly,$0.7502 hourly,$0.6208 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
M6GD Double Extra Large,m6gd.2xlarge,32.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 10 Gigabit,$0.3840 hourly,$0.2436 hourly,$0.1175 hourly,unavailable,unavailable,2375.00,4750.00,296.88,593.75,12000.00,20000.00
INF1 Double Extra Large,inf1.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.3850 hourly,$0.2420 hourly,$0.1135 hourly,unavailable,unavailable,1190.00,4750.00,148.75,593.75,6000.00,20000.00
C7GD Double Extra Large,c7gd.2xlarge,16.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 15 Gigabit,$0.3931 hourly,$0.2477 hourly,$0.1125 hourly,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
M7I-FLEX Double Extra Large,m7i-flex.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.4070 hourly,$0.2692 hourly,$0.1099 hourly,$0.7566 hourly,$0.6188 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
M6I Double Extra Large,m6i.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.4080 hourly,$0.2699 hourly,$0.1470 hourly,$0.7760 hourly,$0.6379 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
M5 General Purpose Double Extra Large,m5.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.4080 hourly,$0.2570 hourly,$0.1172 hourly,$0.7760 hourly,$0.6250 hourly,2300.00,4750.00,287.50,593.75,12000.00,18750.00
R6IDN Extra Large,r6idn.xlarge,32.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 30 Gigabit,$0.4142 hourly,$0.2609 hourly,$0.1123 hourly,$0.5982 hourly,$0.4449 hourly,3125.00,25000.00,390.62,3125.00,12500.00,100000.00
C5 High-CPU Double Extra Large,c5d.2xlarge,16.0 GiB,8 vCPUs,200 GB                 NVMe SSD,Up to 10 Gigabit,$0.4160 hourly,$0.2620 hourly,$0.1205 hourly,$0.7840 hourly,$0.6300 hourly,2300.00,4750.00,287.50,593.75,10000.00,20000.00
R6G Double Extra Large,r6g.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.4280 hourly,$0.2688 hourly,$0.1143 hourly,unavailable,unavailable,2375.00,4750.00,296.88,593.75,12000.00,20000.00
M7I Double Extra Large,m7i.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.4284 hourly,$0.2834 hourly,$0.1547 hourly,$0.7964 hourly,$0.6514 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
C7A Double Extra Large,c7a.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.4395 hourly,$0.2907 hourly,$0.1260 hourly,$0.8075 hourly,$0.6587 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
M7GD Double Extra Large,m7gd.2xlarge,32.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 15 Gigabit,$0.4536 hourly,$0.2858 hourly,$0.1251 hourly,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
R7G Double Extra Large,r7g.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.4556 hourly,$0.2870 hourly,$0.1314 hourly,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
C5N Double Extra Large,c5n.2xlarge,21.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.4640 hourly,$0.2920 hourly,$0.1381 hourly,$0.8320 hourly,$0.6600 hourly,2300.00,4750.00,287.50,593.75,10000.00,20000.00
I3EN Extra Large,i3en.xlarge,32.0 GiB,4 vCPUs,2500 GB                 NVMe SSD,Up to 25 Gigabit,$0.4740 hourly,$0.3240 hourly,$0.1287 hourly,$0.6580 hourly,$0.5080 hourly,1153.00,4750.00,144.20,593.75,6000.00,20000.00
M5 General Purpose Double Extra Large,m5d.2xlarge,32.0 GiB,8 vCPUs,300 GB                 NVMe SSD,Up to 10 Gigabit,$0.4800 hourly,$0.3020 hourly,$0.1545 hourly,$0.8480 hourly,$0.6700 hourly,2300.00,4750.00,287.50,593.75,12000.00,18750.00
R6GD Double Extra Large,r6gd.2xlarge,64.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 10 Gigabit,$0.4864 hourly,$0.3064 hourly,$0.1740 hourly,unavailable,unavailable,2375.00,4750.00,296.88,593.75,12000.00,20000.00
C6IN Double Extra Large,c6in.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,$0.4872 hourly,$0.3069 hourly,$0.1361 hourly,$0.8552 hourly,$0.6749 hourly,6250.00,25000.00,781.25,3125.00,25000.00,100000.00
M7A Double Extra Large,m7a.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.4926 hourly,$0.3259 hourly,$0.1481 hourly,$0.8606 hourly,$0.6939 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
R5 Double Extra Large,r5.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.5360 hourly,$0.3380 hourly,$0.1715 hourly,$0.9040 hourly,$0.7060 hourly,2300.00,4750.00,287.50,593.75,12000.00,18750.00
R6I Double Extra Large,r6i.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.5360 hourly,$0.3377 hourly,$0.1541 hourly,$0.9040 hourly,$0.7057 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
G4DN Extra Large,g4dn.xlarge,16.0 GiB,4 vCPUs,125 GB                 NVMe SSD,Up to 25 Gigabit,$0.5580 hourly,$0.3520 hourly,$0.1635 hourly,$0.7420 hourly,$0.5360 hourly,950.00,3500.00,118.75,437.50,3000.00,20000.00
R7I Double Extra Large,r7i.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.5628 hourly,$0.3723 hourly,$0.2060 hourly,$0.9308 hourly,$0.7403 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
R7GD Double Extra Large,r7gd.2xlarge,64.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 15 Gigabit,$0.5746 hourly,$0.3620 hourly,$0.1600 hourly,unavailable,unavailable,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
C6G Quadruple Extra Large,c6g.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.5840 hourly,$0.3696 hourly,$0.1634 hourly,unavailable,unavailable
M6IN Double Extra Large,m6in.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,$0.5920 hourly,$0.3717 hourly,$0.1709 hourly,$0.9600 hourly,$0.7397 hourly,6250.00,25000.00,781.25,3125.00,25000.00,100000.00
R5D Double Extra Large,r5d.2xlarge,64.0 GiB,8 vCPUs,300 GB                 NVMe SSD,Up to 10 Gigabit,$0.6080 hourly,$0.3830 hourly,$0.1745 hourly,$0.9760 hourly,$0.7510 hourly,2300.00,4750.00,287.50,593.75,12000.00,18750.00
C7G Quadruple Extra Large,c7g.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.6189 hourly,$0.4094 hourly,$0.1706 hourly,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
R5B Double Extra Large,r5b.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.6318 hourly,$0.3980 hourly,$0.1818 hourly,$0.9998 hourly,$0.7660 hourly,5000.00,10000.00,625.00,1250.00,21667.00,43333.00
R5N Double Extra Large,r5n.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.6360 hourly,$0.3990 hourly,$0.1866 hourly,$1.0040 hourly,$0.7670 hourly,2300.00,4750.00,287.50,593.75,12000.00,18750.00
R7A Double Extra Large,r7a.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.6472 hourly,$0.4281 hourly,$0.2113 hourly,$1.0152 hourly,$0.7961 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
I3 High I/O Double Extra Large,i3.2xlarge,61.0 GiB,8 vCPUs,1900 GB                 NVMe SSD,Up to 10 Gigabit,$0.6520 hourly,$0.4460 hourly,$0.1717 hourly,$1.0200 hourly,$0.8140 hourly
M6G Quadruple Extra Large,m6g.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.6560 hourly,$0.4116 hourly,$0.1716 hourly,unavailable,unavailable
C5A Quadruple Extra Large,c5a.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.6560 hourly,$0.4130 hourly,$0.1819 hourly,$1.3920 hourly,$1.1490 hourly,1580.00,3170.00,197.50,396.25,6600.00,13300.00
M6IDN Double Extra Large,m6idn.2xlarge,32.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 40 Gigabit,$0.6640 hourly,$0.4169 hourly,$0.1757 hourly,$1.0320 hourly,$0.7849 hourly,6250.00,25000.00,781.25,3125.00,25000.00,100000.00
C6GD Quadruple Extra Large,c6gd.4xlarge,32.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 10 Gigabit,$0.6656 hourly,$0.4193 hourly,$0.1869 hourly,unavailable,unavailable
M7G Quadruple Extra Large,m7g.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.6936 hourly,$0.4588 hourly,$0.1912 hourly,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
D2 Extra Large,d2.xlarge,30.5 GiB,4 vCPUs,6144 GB                 (3 * 2048 GB HDD),Moderate,$0.6980 hourly,$0.3810 hourly,$0.1923 hourly,$0.8820 hourly,$0.5650 hourly
R5DN Double Extra Large,r5dn.2xlarge,64.0 GiB,8 vCPUs,300 GB                 NVMe SSD,Up to 25 Gigabit,$0.7080 hourly,$0.4460 hourly,$0.1952 hourly,$1.0760 hourly,$0.8140 hourly,2300.00,4750.00,287.50,593.75,12000.00,18750.00
I4I Double Extra Large,i4i.2xlarge,64.0 GiB,8 vCPUs,1875 GB                 NVMe SSD,Up to 12 Gigabit,$0.7170 hourly,$0.4670 hourly,$0.2020 hourly,$1.0850 hourly,$0.8350 hourly,2500.00,10000.00,312.50,1250.00,10000.00,40000.00
C7I-FLEX Quadruple Extra Large,c7i-flex.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.7262 hourly,$0.4804 hourly,$0.2261 hourly,$1.4254 hourly,$1.1796 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.7280 hourly,$0.4590 hourly,$0.2130 hourly,$1.4640 hourly,$1.1950 hourly
C6I Quadruple Extra Large,c6i.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.7280 hourly,$0.4816 hourly,$0.2115 hourly,$1.4640 hourly,$1.2176 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
C6GN Quadruple Extra Large,c6gn.4xlarge,32.0 GiB,16 vCPUs,EBS only,25 Gigabit,$0.7440 hourly,$0.4704 hourly,$0.1894 hourly,unavailable,unavailable
R6IN Double Extra Large,r6in.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,$0.7441 hourly,$0.4668 hourly,$0.2177 hourly,$1.1121 hourly,$0.8348 hourly,6250.00,25000.00,781.25,3125.00,25000.00,100000.00
C7I Quadruple Extra Large,c7i.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.7644 hourly,$0.5057 hourly,$0.2923 hourly,$1.5004 hourly,$1.2416 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
M6GD Quadruple Extra Large,m6gd.4xlarge,64.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 10 Gigabit,$0.7680 hourly,$0.4872 hourly,$0.2064 hourly,unavailable,unavailable
C7GD Quadruple Extra Large,c7gd.4xlarge,32.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 15 Gigabit,$0.7862 hourly,$0.4953 hourly,$0.2138 hourly,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
G4DN Double Extra Large,g4dn.2xlarge,32.0 GiB,8 vCPUs,225 GB                 NVMe SSD,Up to 25 Gigabit,$0.7980 hourly,$0.5030 hourly,$0.2248 hourly,$1.1660 hourly,$0.8710 hourly,1150.00,3500.00,143.75,437.50,6000.00,20000.00
M7I-FLEX Quadruple Extra Large,m7i-flex.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.8140 hourly,$0.5384 hourly,$0.2947 hourly,$1.5132 hourly,$1.2376 hourly,2500.00,10000.00,312.50,1250.00,12000.00,40000.00
M5 General Purpose Quadruple Extra Large,m5.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.8160 hourly,$0.5140 hourly,$0.2889 hourly,$1.5520 hourly,$1.2500 hourly
M6I Quadruple Extra Large,m6i.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.8160 hourly,$0.5398 hourly,$0.2813 hourly,$1.5520 hourly,$1.2758 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
R6IDN Double Extra Large,r6idn.2xlarge,64.0 GiB,8 vCPUs,474 GB                 NVMe SSD,Up to 40 Gigabit,$0.8284 hourly,$0.5219 hourly,$0.2366 hourly,$1.1964 hourly,$0.8899 hourly,6250.00,25000.00,781.25,3125.00,25000.00,100000.00
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32.0 GiB,16 vCPUs,400 GB                 NVMe SSD,Up to 10 Gigabit,$0.8320 hourly,$0.5240 hourly,$0.2793 hourly,$1.5680 hourly,$1.2600 hourly
INF2 Extra Large,inf2.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 15 Gigabit,$0.8340 hourly,$0.5254 hourly,$0.2286 hourly,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,16.0 GiB,4 vCPUs,250 GB                 NVMe SSD,Up to 10 Gigabit,$0.8536 hourly,$0.5557 hourly,$0.0921 hourly,$1.0376 hourly,$0.7397 hourly,1000.00,5000.00,125.00,625.00,4000.00,20000.00
R6G Quadruple Extra Large,r6g.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.8560 hourly,$0.5376 hourly,$0.2319 hourly,unavailable,unavailable
M7I Quadruple Extra Large,m7i.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.8568 hourly,$0.5668 hourly,$0.2908 hourly,$1.5928 hourly,$1.3028 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
C7A Quadruple Extra Large,c7a.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.8790 hourly,$0.5815 hourly,$0.2789 hourly,$1.6150 hourly,$1.3175 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
M7GD Quadruple Extra Large,m7gd.4xlarge,64.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 15 Gigabit,$0.9072 hourly,$0.5715 hourly,$0.2508 hourly,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
R7G Quadruple Extra Large,r7g.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.9112 hourly,$0.5741 hourly,$0.2533 hourly,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
C5N Quadruple Extra Large,c5n.4xlarge,42.0 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$0.9280 hourly,$0.5850 hourly,$0.2741 hourly,$1.6640 hourly,$1.3210 hourly
I3EN Double Extra Large,i3en.2xlarge,64.0 GiB,8 vCPUs,5000 GB                 (2 * 2500 GB NVMe SSD),Up to 25 Gigabit,$0.9480 hourly,$0.6480 hourly,$0.2591 hourly,$1.3160 hourly,$1.0160 hourly,2307.00,4750.00,288.39,593.75,12000.00,20000.00
X2IEDN Extra Large,x2iedn.xlarge,128.0 GiB,4 vCPUs,118 GB                 NVMe SSD,Up to 25 Gigabit,$0.9507 hourly,$0.5850 hourly,$0.2496 hourly,$1.1347 hourly,$0.7690 hourly,2500.00,20000.00,312.50,2500.00,8125.00,65000.00
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,64.0 GiB,16 vCPUs,600 GB                 (2 * 300 GB NVMe SSD),Up to 10 Gigabit,$0.9600 hourly,$0.6050 hourly,$0.2988 hourly,$1.6960 hourly,$1.3410 hourly
R6GD Quadruple Extra Large,r6gd.4xlarge,128.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 10 Gigabit,$0.9728 hourly,$0.6129 hourly,$0.2812 hourly,unavailable,unavailable
C6IN Quadruple Extra Large,c6in.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,$0.9744 hourly,$0.6139 hourly,$0.2753 hourly,$1.7104 hourly,$1.3499 hourly,12500.00,25000.00,1562.50,3125.00,50000.00,100000.00
M7A Quadruple Extra Large,m7a.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.9853 hourly,$0.6518 hourly,$0.3901 hourly,$1.7213 hourly,$1.3878 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,32.0 GiB,8 vCPUs,450 GB                 NVMe SSD,Up to 10 Gigabit,$1.0369 hourly,$0.6750 hourly,$0.1128 hourly,$1.4049 hourly,$1.0430 hourly,2000.00,5000.00,250.00,625.00,8000.00,20000.00
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,16.0 GiB,4 vCPUs,250 GB                 NVMe SSD,Up to 10 Gigabit,$1.0670 hourly,$0.6722 hourly,$0.2940 hourly,$1.2510 hourly,$0.8562 hourly,700.00,3500.00,87.50,437.50,3000.00,15000.00
R5 Quadruple Extra Large,r5.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$1.0720 hourly,$0.6750 hourly,$0.2998 hourly,$1.8080 hourly,$1.4110 hourly
R6I Quadruple Extra Large,r6i.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$1.0720 hourly,$0.6754 hourly,$0.3440 hourly,$1.8080 hourly,$1.4114 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
R7I Quadruple Extra Large,r7i.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$1.1256 hourly,$0.7446 hourly,$0.3446 hourly,$1.8616 hourly,$1.4806 hourly,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
R7GD Quadruple Extra Large,r7gd.4xlarge,128.0 GiB,16 vCPUs,950 GB                 NVMe SSD,Up to 15 Gigabit,$1.1491 hourly,$0.7239 hourly,$0.3210 hourly,unavailable,unavailable,5000.00,10000.00,625.00,1250.00,20000.00,40000.00
C6G Eight Extra Large,c6g.8xlarge,64.0 GiB,32 vCPUs,EBS only,12 Gigabit,$1.1680 hourly,$0.7392 hourly,$0.3258 hourly,unavailable,unavailable
M6IN Quadruple Extra Large,m6in.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,$1.1840 hourly,$0.7434 hourly,$0.3431 hourly,$1.9200 hourly,$1.4794 hourly,12500.00,25000.00,1562.50,3125.00,50000.00,100000.00
R5D Quadruple Extra Large,r5d.4xlarge,128.0 GiB,16 vCPUs,600 GB                 (2 * 300 GB NVMe SSD),Up to 10 Gigabit,$1.2160 hourly,$0.7660 hourly,$0.3661 hourly,$1.9520 hourly,$1.5020 hourly
C7G Eight Extra Large,c7g.8xlarge,64.0 GiB,32 vCPUs,EBS only,15 Gigabit,$1.2378 hourly,$0.8188 hourly,$0.4161 hourly,unavailable,unavailable
INF1 6xlarge,inf1.6xlarge,48.0 GiB,24 vCPUs,EBS only,25 Gigabit,$1.2540 hourly,$0.7900 hourly,$0.3224 hourly,unavailable,unavailable
R5B Quadruple Extra Large,r5b.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$1.2635 hourly,$0.7960 hourly,$0.3486 hourly,$1.9995 hourly,$1.5320 hourly
R5N Quadruple Extra Large,r5n.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$1.2720 hourly,$0.7980 hourly,$0.3610 hourly,$2.0080 hourly,$1.5340 hourly
