Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
R7GD Medium,r7gd.medium,8.0 GiB,1 vCPUs,59 GB                 NVMe SSD,Up to 12.5 Gigabit,$0.0718 hourly,$0.0452 hourly,$0.0196 hourly,unavailable,unavailable,315.00,10000.00,39.38,1250.00,2500.00,40000.00
C6G Large,c6g.large,4.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0730 hourly,$0.0462 hourly,$0.0228 hourly,unavailable,unavailable,630.00,4750.00,78.75,593.75,3600.00,20000.00
C7G Large,c7g.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0774 hourly,$0.0512 hourly,$0.0226 hourly,unavailable,unavailable,630.00,10000.00,78.75,1250.00,3600.00,40000.00
R7A Medium,r7a.medium,8.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0809 hourly,$0.0535 hourly,$0.0230 hourly,$0.1269 hourly,$0.0995 hourly,325.00,10000.00,40.62,1250.00,2500.00,40000.00
M6G Large,m6g.large,8.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0820 hourly,$0.0515 hourly,$0.0227 hourly,unavailable,unavailable,630.00,4750.00,78.75,593.75,3600.00,20000.00
C5A Large,c5a.large,4.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0820 hourly,$0.0520 hourly,$0.0231 hourly,$0.1740 hourly,$0.1440 hourly,200.00,3170.00,25.00,396.25,800.00,13300.00
C6GD Large,c6gd.large,4.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 10 Gigabit,$0.0832 hourly,$0.0524 hourly,$0.0228 hourly,unavailable,unavailable,630.00,4750.00,78.75,593.75,3600.00,20000.00
T3 Large,t3.large,8.0 GiB,2 vCPUs                                                         for a                   7h 12m                   burst,EBS only,Up to 5 Gigabit,$0.0864 hourly,$0.0544 hourly,$0.0253 hourly,$0.1140 hourly,$0.0820 hourly,695.00,2780.00,86.88,347.50,4000.00,15700.00
M7G Large,m7g.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0867 hourly,$0.0574 hourly,$0.0240 hourly,unavailable,unavailable,630.00,10000.00,78.75,1250.00,3600.00,40000.00
C7I-FLEX Large,c7i-flex.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0908 hourly,$0.0600 hourly,$0.0243 hourly,$0.1782 hourly,$0.1474 hourly,312.00,10000.00,39.06,1250.00,2500.00,40000.00
C6I Large,c6i.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0910 hourly,$0.0602 hourly,$0.0274 hourly,$0.1830 hourly,$0.1522 hourly,650.00,10000.00,81.25,1250.00,3600.00,40000.00
C5 High-CPU Large,c5.large,4.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0910 hourly,$0.0570 hourly,$0.0307 hourly,$0.1830 hourly,$0.1490 hourly,650.00,4750.00,81.25,593.75,4000.00,20000.00
C6GN Large,c6gn.large,4.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.0930 hourly,$0.0588 hourly,$0.0257 hourly,unavailable,unavailable,1235.00,9500.00,154.38,1187.50,5000.00,40000.00
C7I Large,c7i.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0955 hourly,$0.0632 hourly,$0.0277 hourly,$0.1875 hourly,$0.1552 hourly,650.00,10000.00,81.25,1250.00,3600.00,40000.00
M6GD Large,m6gd.large,8.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 10 Gigabit,$0.0960 hourly,$0.0609 hourly,$0.0259 hourly,unavailable,unavailable,630.00,4750.00,78.75,593.75,3600.00,20000.00
C7GD Large,c7gd.large,4.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 12.5 Gigabit,$0.0983 hourly,$0.0619 hourly,$0.0274 hourly,unavailable,unavailable,630.00,10000.00,78.75,1250.00,3600.00,40000.00
M7I-FLEX Large,m7i-flex.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1017 hourly,$0.0673 hourly,$0.0278 hourly,$0.1892 hourly,$0.1547 hourly,312.00,10000.00,39.06,1250.00,2500.00,40000.00
M6I Large,m6i.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1020 hourly,$0.0675 hourly,$0.0300 hourly,$0.1940 hourly,$0.1595 hourly,650.00,10000.00,81.25,1250.00,3600.00,40000.00
M5 General Purpose Large,m5.large,8.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.1020 hourly,$0.0640 hourly,$0.0304 hourly,$0.1940 hourly,$0.1560 hourly,650.00,4750.00,81.25,593.75,3600.00,18750.00
C5 High-CPU Large,c5d.large,4.0 GiB,2 vCPUs,50 GB                 NVMe SSD,Up to 10 Gigabit,$0.1040 hourly,$0.0660 hourly,$0.0292 hourly,$0.1960 hourly,$0.1580 hourly,650.00,4750.00,81.25,593.75,4000.00,20000.00
R6G Large,r6g.large,16.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.1070 hourly,$0.0672 hourly,$0.0334 hourly,unavailable,unavailable,630.00,4750.00,78.75,593.75,3600.00,20000.00
M7I Large,m7i.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1071 hourly,$0.0708 hourly,$0.0298 hourly,$0.1991 hourly,$0.1628 hourly,650.00,10000.00,81.25,1250.00,3600.00,40000.00
C7A Large,c7a.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1099 hourly,$0.0727 hourly,$0.0300 hourly,$0.2019 hourly,$0.1647 hourly,650.00,10000.00,81.25,1250.00,3600.00,40000.00
M7GD Large,m7gd.large,8.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 12.5 Gigabit,$0.1134 hourly,$0.0714 hourly,$0.0307 hourly,unavailable,unavailable,630.00,10000.00,78.75,1250.00,3600.00,40000.00
R7G Large,r7g.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1139 hourly,$0.0718 hourly,$0.0316 hourly,unavailable,unavailable,630.00,10000.00,78.75,1250.00,3600.00,40000.00
C5N Large,c5n.large,5.25 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1160 hourly,$0.0730 hourly,$0.0330 hourly,$0.2080 hourly,$0.1650 hourly,650.00,4750.00,81.25,593.75,4000.00,20000.00
M5 General Purpose Large,m5d.large,8.0 GiB,2 vCPUs,75 GB                 NVMe SSD,Up to 10 Gigabit,$0.1200 hourly,$0.0760 hourly,$0.0360 hourly,$0.2120 hourly,$0.1680 hourly,650.00,4750.00,81.25,593.75,3600.00,18750.00
R6GD Large,r6gd.large,16.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 10 Gigabit,$0.1216 hourly,$0.0766 hourly,$0.0343 hourly,unavailable,unavailable,630.00,4750.00,78.75,593.75,3600.00,20000.00
C6IN Large,c6in.large,4.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1218 hourly,$0.0767 hourly,$0.0333 hourly,$0.2138 hourly,$0.1687 hourly,1562.00,25000.00,195.31,3125.00,6250.00,100000.00
M7A Large,m7a.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1232 hourly,$0.0815 hourly,$0.0340 hourly,$0.2152 hourly,$0.1735 hourly,650.00,10000.00,81.25,1250.00,3600.00,40000.00
R6I Large,r6i.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1340 hourly,$0.0844 hourly,$0.0398 hourly,$0.2260 hourly,$0.1764 hourly,650.00,10000.00,81.25,1250.00,3600.00,40000.00
R5 Large,r5.large,16.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.1340 hourly,$0.0840 hourly,$0.0450 hourly,$0.2260 hourly,$0.1760 hourly,650.00,4750.00,81.25,593.75,3600.00,18750.00
T4G Extra Large,t4g.xlarge,16.0 GiB,4 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,$0.1376 hourly,$0.0870 hourly,$0.0447 hourly,unavailable,unavailable,695.00,2780.00,86.88,347.50,4000.00,15700.00
R7I Large,r7i.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1407 hourly,$0.0931 hourly,$0.0392 hourly,$0.2327 hourly,$0.1851 hourly,650.00,10000.00,81.25,1250.00,3600.00,40000.00
R7GD Large,r7gd.large,16.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 12.5 Gigabit,$0.1436 hourly,$0.0905 hourly,$0.0375 hourly,unavailable,unavailable,630.00,10000.00,78.75,1250.00,3600.00,40000.00
C6G Extra Large,c6g.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.1460 hourly,$0.0924 hourly,$0.0472 hourly,unavailable,unavailable,1188.00,4750.00,148.50,593.75,6000.00,20000.00
M6IN Large,m6in.large,8.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1480 hourly,$0.0929 hourly,$0.0406 hourly,$0.2400 hourly,$0.1849 hourly,1562.00,25000.00,195.31,3125.00,6250.00,100000.00
